NONCODE-ID	RNA-Length	UNIPROT-ID	Protein-Lenght	Organisms
n121	238	Q13148	1086	Homo sapiens
n127	294	Q9HCE1	856	Homo sapiens
n1315	330	P35637	339	Homo sapiens
n1315	330	Q01844	217	Homo sapiens
n1315	330	Q13148	1086	Homo sapiens
n1315	330	Q49AS9	163	Homo sapiens
n1315	330	Q9NY12	197	Homo sapiens
n1315	330	Q9UKC9	99	Homo sapiens
n1414	106	J9JEG3	179	Escherichia coli
n1414	106	P0A6X3	700	Escherichia coli
n1414	106	P13445	236	Escherichia coli
n1433	221	P84104	160	Mus musculus
n1433	221	Q8VE97	987	Mus musculus
n1460	61	P84104	160	Mus musculus
n1460	61	Q8VE97	987	Mus musculus
n1461	249	Q8VE97	987	Mus musculus
n1579	145	P84104	160	Mus musculus
n1579	145	Q8VE97	987	Mus musculus
n177816	77	G5EGR6	1033	Caenorhabditis elegans
n177817	76	G5EGR6	1033	Caenorhabditis elegans
n177965	67	G5EGR6	1033	Caenorhabditis elegans
n178012	130	G5EGR6	1033	Caenorhabditis elegans
n178094	103	G5EGR6	1033	Caenorhabditis elegans
n178096	186	G5EGR6	1033	Caenorhabditis elegans
n178110	119	G5EGR6	1033	Caenorhabditis elegans
n178123	78	G5EGR6	1033	Caenorhabditis elegans
n178127	70	G5EGR6	1033	Caenorhabditis elegans
n178128	67	G5EGR6	1033	Caenorhabditis elegans
n178133	130	G5EGR6	1033	Caenorhabditis elegans
n178134	129	G5EGR6	1033	Caenorhabditis elegans
n178137	131	Q17339	364	Caenorhabditis elegans
n178162	139	G5EGR6	1033	Caenorhabditis elegans
n178164	154	G5EGR6	1033	Caenorhabditis elegans
n1851	1421	P01106	609	Homo sapiens
n1859	107	O08688	677	Mus musculus
n1859	107	P84104	160	Mus musculus
n1859	107	Q8R1B4	262	Mus musculus
n1859	107	Q8VE97	987	Mus musculus
n1859	107	Q91WM3	517	Mus musculus
n1868	1375	Q13148	1086	Homo sapiens
n1877	310	B1IVL4	766	Escherichia coli
n1877	310	P0A6H1	251	Escherichia coli
n1877	310	P0AFZ3	214	Escherichia coli
n1877	310	P0AG67	161	Escherichia coli
n1877	310	P0C077	448	Escherichia coli
n1877	310	P0C0V0	90	Escherichia coli
n1877	310	P0CE47	470	Escherichia coli
n1877	310	P0CE48	390	Escherichia coli
n1877	310	P21499	845	Escherichia coli
n1877	310	P23865	1447	Escherichia coli
n1877	310	P42184	909	Escherichia coli
n1877	310	P77398	171	Escherichia coli
n198938	1247	Q05C33	813	Mus musculus
n199030	250	B7ZL34	285	Homo sapiens
n199030	250	O00425	171	Homo sapiens
n199030	250	P26599	471	Homo sapiens
n199030	250	Q13148	1086	Homo sapiens
n199030	250	Q8NDV7	1227	Homo sapiens
n199030	250	Q9H9G7	390	Homo sapiens
n199030	250	Q9HCJ0	999	Homo sapiens
n199030	250	Q9HCK5	1686	Homo sapiens
n199030	250	Q9NZI8	213	Homo sapiens
n199030	250	Q9UKV8	478	Homo sapiens
n199030	250	Q9UL18	854	Homo sapiens
n199030	250	Q9UPQ9	853	Homo sapiens
n200540	1642	Q05C33	813	Mus musculus
n203786	420	Q13148	1086	Homo sapiens
n203786	420	Q49AS9	163	Homo sapiens
n203786	420	Q9HCE1	856	Homo sapiens
n2060	275	P26599	471	Homo sapiens
n2060	275	Q01844	217	Homo sapiens
n2060	275	Q13148	1086	Homo sapiens
n2060	275	Q49AS9	163	Homo sapiens
n2110	66	P84104	160	Mus musculus
n2130	205	P84104	160	Mus musculus
n2130	205	Q8VE97	987	Mus musculus
n2146	71	P84104	160	Mus musculus
n2146	71	Q8VE97	987	Mus musculus
n2156	74	P84104	160	Mus musculus
n2157	71	P84104	160	Mus musculus
n2157	71	Q8VE97	987	Mus musculus
n2170	89	Q07807	257	Saccharomyces cerevisiae
n223	73	G5EGR6	1033	Caenorhabditis elegans
n243	246	Q13148	1086	Homo sapiens
n263510	1058	Q4VA08	578	Mus musculus
n263537	1500	Q8VE97	987	Mus musculus
n263549	1960	Q4VA08	578	Mus musculus
n263563	598	P84104	160	Mus musculus
n263844	2594	Q05C33	813	Mus musculus
n263875	1993	Q05C33	813	Mus musculus
n263880	2525	Q05C33	813	Mus musculus
n263885	2351	Q05C33	813	Mus musculus
n263900	2851	Q05C33	813	Mus musculus
n263936	993	Q4VA08	578	Mus musculus
n263941	2841	Q05C33	813	Mus musculus
n263950	2679	Q05C33	813	Mus musculus
n263950	2679	Q4VA08	578	Mus musculus
n263956	2113	Q05C33	813	Mus musculus
n263960	1917	Q4VA08	578	Mus musculus
n263964	1693	Q05C33	813	Mus musculus
n263969	1792	Q05C33	813	Mus musculus
n263973	843	Q4VA08	578	Mus musculus
