Protein ID	RNA ID
1A9N-A	1A9N-Q
1C04-A	1C04-E
1C04-D	1C04-E
1C04-B	1C04-E
1E8O-A	1E8O-E
1FJG-S	1FJG-A
1FJG-F	1FJG-A
1FJG-T	1FJG-A
1FKA-S	1FKA-A
1FKA-F	1FKA-A
1FKA-E	1FKA-A
1G1X-C	1G1X-E
1G1X-A	1G1X-E
1G1X-A	1G1X-J
1HNW-S	1HNW-A
1HNW-F	1HNW-A
1HNW-T	1HNW-A
1HNX-S	1HNX-A
1HNX-F	1HNX-A
1HNX-T	1HNX-A
1HNZ-S	1HNZ-A
1HNZ-F	1HNZ-A
1HNZ-T	1HNZ-A
1HR0-S	1HR0-A
1HR0-F	1HR0-A
1HR0-T	1HR0-A
1HYS-C	1HYS-E
1HYS-D	1HYS-E
1I94-S	1I94-A
1I94-F	1I94-A
1I94-T	1I94-A
1IBK-S	1IBK-A
1IBK-F	1IBK-A
1IBK-T	1IBK-A
1IBL-S	1IBL-A
1IBL-F	1IBL-A
1IBL-T	1IBL-A
1IBM-S	1IBM-A
1IBM-F	1IBM-A
1IBM-T	1IBM-A
1J5E-S	1J5E-A
1J5E-F	1J5E-A
1J5E-T	1J5E-A
1JJ2-S	1JJ2-0
1JJ2-F	1JJ2-0
1JJ2-T	1JJ2-0
1K73-S	1K73-A
1K73-F	1K73-A
1K73-T	1K73-A
1K8A-S	1K8A-A
1K8A-F	1K8A-A
1K8A-T	1K8A-A
1K9M-S	1K9M-A
1K9M-F	1K9M-A
1K9M-T	1K9M-A
1KC8-S	1KC8-A
1KC8-F	1KC8-A
1KC8-T	1KC8-A
1KD1-S	1KD1-A
1KD1-F	1KD1-A
1KD1-T	1KD1-A
1KQS-S	1KQS-0
1KQS-F	1KQS-0
1KQS-T	1KQS-0
1M1K-S	1M1K-A
1M1K-F	1M1K-A
1M1K-T	1M1K-A
1M90-S	1M90-A
1M90-F	1M90-A
1M90-T	1M90-A
1N32-S	1N32-A
1N32-F	1N32-A
1N32-T	1N32-A
1N33-S	1N33-A
1N33-F	1N33-A
1N33-T	1N33-A
1N34-S	1N34-A
1N34-F	1N34-A
1N34-T	1N34-A
1N36-S	1N36-A
1N36-F	1N36-A
1N36-T	1N36-A
1N8R-S	1N8R-A
1N8R-F	1N8R-A
1N8R-T	1N8R-A
1NJI-S	1NJI-A
1NJI-F	1NJI-A
1NJI-T	1NJI-A
1PNS-S	1PNS-A
1PNS-F	1PNS-A
1PNS-T	1PNS-A
1PNX-S	1PNX-A
1PNX-F	1PNX-A
1PNX-T	1PNX-A
1Q7Y-S	1Q7Y-A
1Q7Y-F	1Q7Y-A
1Q7Y-T	1Q7Y-A
1Q81-S	1Q81-A
1Q81-F	1Q81-A
1Q81-T	1Q81-A
1Q82-S	1Q82-A
1Q82-F	1Q82-A
1Q82-T	1Q82-A
1Q86-S	1Q86-A
1Q86-F	1Q86-A
1Q86-T	1Q86-A
1QVF-S	1QVF-0
1QVF-F	1QVF-0
1QVF-T	1QVF-0
1QVG-S	1QVG-0
1QVG-F	1QVG-0
1QVG-T	1QVG-0
1S72-S	1S72-0
1S72-F	1S72-0
1S72-T	1S72-0
1VOQ-S	1VOQ-A
1VOQ-F	1VOQ-A
1VOQ-T	1VOQ-A
1VOR-S	1VOR-B
1VOR-F	1VOR-B
1VOR-T	1VOR-B
1VOS-S	1VOS-A
1VOS-F	1VOS-A
1VOS-T	1VOS-A
1VOU-S	1VOU-B
1VOU-F	1VOU-B
1VOU-T	1VOU-B
1VOV-S	1VOV-A
1VOV-F	1VOV-A
1VOV-T	1VOV-A
1VOW-S	1VOW-A
1VOW-F	1VOW-A
1VOW-T	1VOW-A
1VOX-S	1VOX-A
1VOX-F	1VOX-A
1VOX-T	1VOX-A
1VOY-S	1VOY-B
1VOY-F	1VOY-B
1VOY-T	1VOY-B
1VOZ-S	1VOZ-A
1VOZ-F	1VOZ-A
1VOZ-T	1VOZ-A
1VP0-S	1VP0-A
1VP0-F	1VP0-A
1VP0-T	1VP0-A
1VQ4-S	1VQ4-0
1VQ4-F	1VQ4-0
1VQ4-T	1VQ4-0
1VQ5-S	1VQ5-0
1VQ5-F	1VQ5-0
1VQ5-T	1VQ5-0
1VQ6-S	1VQ6-0
1VQ6-F	1VQ6-0
1VQ6-T	1VQ6-0
1VQ7-S	1VQ7-0
1VQ7-F	1VQ7-0
1VQ7-T	1VQ7-0
1VQ8-S	1VQ8-0
1VQ8-F	1VQ8-0
1VQ8-T	1VQ8-0
1VQ9-S	1VQ9-0
1VQ9-F	1VQ9-0
1VQ9-T	1VQ9-0
1VQK-S	1VQK-0
1VQK-F	1VQK-0
1VQK-T	1VQK-0
1VQL-S	1VQL-0
1VQL-F	1VQL-0
1VQL-T	1VQL-0
1VQM-S	1VQM-0
1VQM-F	1VQM-0
1VQM-T	1VQM-0
1VQN-S	1VQN-0
1VQN-F	1VQN-0
1VQN-T	1VQN-0
1VQO-S	1VQO-0
1VQO-F	1VQO-0
1VQO-T	1VQO-0
1VQP-S	1VQP-0
1VQP-F	1VQP-0
1VQP-T	1VQP-0
1VS5-S	1VS5-A
1VS5-F	1VS5-A
1VS5-T	1VS5-A
1VS6-S	1VS6-A
1VS6-F	1VS6-A
1VS6-T	1VS6-A
1VS7-S	1VS7-A
1VS7-F	1VS7-A
1VS7-T	1VS7-A
1VS8-S	1VS8-A
1VS8-F	1VS8-A
1VS8-T	1VS8-A
1VSA-S	1VSA-w
1VSA-F	1VSA-w
1VSA-T	1VSA-w
1VSP-S	1VSP-w
1VSP-F	1VSP-w
1VSP-T	1VSP-w
1VT2-S	1VT2-A
1VT2-F	1VT2-A
1VT2-T	1VT2-A
1W2B-S	1W2B-0
1W2B-F	1W2B-0
1W2B-T	1W2B-0
1XMO-S	1XMO-A
1XMO-F	1XMO-A
1XMO-T	1XMO-A
1XMQ-S	1XMQ-A
1XMQ-F	1XMQ-A
1XMQ-T	1XMQ-A
1XNQ-S	1XNQ-A
1XNQ-F	1XNQ-A
1XNQ-T	1XNQ-A
1XNR-S	1XNR-A
1XNR-F	1XNR-A
1XNR-T	1XNR-A
1YHQ-S	1YHQ-0
1YHQ-F	1YHQ-0
1YHQ-T	1YHQ-0
1YI2-S	1YI2-0
1YI2-F	1YI2-0
1YI2-T	1YI2-0
1YIJ-S	1YIJ-0
1YIJ-F	1YIJ-0
1YIJ-T	1YIJ-0
1YIT-S	1YIT-0
1YIT-F	1YIT-0
1YIT-T	1YIT-0
1YJ9-S	1YJ9-0
1YJ9-F	1YJ9-0
1YJ9-T	1YJ9-0
1YJN-S	1YJN-0
1YJN-F	1YJN-0
1YJN-T	1YJN-0
1YJW-S	1YJW-0
1YJW-F	1YJW-0
1YJW-T	1YJW-0
1YL3-S	1YL3-A
1YL3-F	1YL3-A
1YL3-T	1YL3-A
1YL4-S	1YL4-A
1YL4-T	1YL4-A
1YL4-N	1YL4-A
2AVY-S	2AVY-A
2AVY-F	2AVY-A
2AVY-T	2AVY-A
2AW4-S	2AW4-A
2AW4-F	2AW4-A
2AW4-T	2AW4-A
2AW7-S	2AW7-A
2AW7-F	2AW7-A
2AW7-T	2AW7-A
2AWB-S	2AWB-A
2AWB-F	2AWB-A
2AWB-T	2AWB-A
2B63-F	2B63-R
2B63-K	2B63-R
2B63-E	2B63-R
2B64-S	2B64-A
2B64-F	2B64-A
2B64-T	2B64-A
2B66-S	2B66-A
2B66-F	2B66-A
2B66-T	2B66-A
2B9M-S	2B9M-A
2B9M-F	2B9M-A
2B9M-T	2B9M-A
2B9N-S	2B9N-A
2B9N-F	2B9N-A
2B9N-T	2B9N-A
2B9O-S	2B9O-A
2B9O-F	2B9O-A
2B9O-T	2B9O-A
2B9P-S	2B9P-A
2B9P-F	2B9P-A
2B9P-T	2B9P-A
2D3O-S	2D3O-0
2D3O-W	2D3O-0
2D3O-1	2D3O-0
2D6F-A	2D6F-E
2E5L-S	2E5L-A
2E5L-F	2E5L-A
2E5L-T	2E5L-A
2F4V-S	2F4V-A
2F4V-F	2F4V-A
2F4V-T	2F4V-A
2HGI-S	2HGI-A
2HGI-F	2HGI-A
2HGI-T	2HGI-A
2HGJ-S	2HGJ-A
2HGJ-F	2HGJ-A
2HGJ-T	2HGJ-A
2HGP-S	2HGP-A
2HGP-T	2HGP-A
2HGP-K	2HGP-A
2HGQ-S	2HGQ-A
2HGQ-F	2HGQ-A
2HGQ-T	2HGQ-A
2HGR-S	2HGR-A
2HGR-F	2HGR-A
2HGR-T	2HGR-A
2HGU-S	2HGU-A
2HGU-F	2HGU-A
2HGU-T	2HGU-A
2HHH-S	2HHH-A
2HHH-F	2HHH-A
2HHH-T	2HHH-A
2I2P-S	2I2P-A
2I2P-F	2I2P-A
2I2P-T	2I2P-A
2I2T-S	2I2T-A
2I2T-F	2I2T-A
2I2T-T	2I2T-A
2I2U-S	2I2U-A
2I2U-F	2I2U-A
2I2U-T	2I2U-A
2I2V-S	2I2V-A
2I2V-F	2I2V-A
2I2V-T	2I2V-A
2J00-S	2J00-A
2J00-F	2J00-A
2J00-T	2J00-A
2J01-S	2J01-A
2J01-T	2J01-A
2J01-N	2J01-A
2J02-S	2J02-A
2J02-T	2J02-A
2J02-N	2J02-A
2J03-S	2J03-A
2J03-T	2J03-A
2J03-N	2J03-A
2O5I-E	2O5I-H
2O5I-D	2O5I-H
2O5I-A	2O5I-H
2O5J-E	2O5J-H
2O5J-D	2O5J-H
2O5J-A	2O5J-H
2OTJ-S	2OTJ-0
2OTJ-T	2OTJ-0
2OTJ-N	2OTJ-0
2OTL-S	2OTL-0
2OTL-T	2OTL-0
2OTL-N	2OTL-0
2OW8-d	2OW8-y
2OW8-u	2OW8-y
2OW8-k	2OW8-y
2OZB-B	2OZB-C
2PPB-E	2PPB-H
2PPB-D	2PPB-H
2PPB-A	2PPB-H
2QA4-S	2QA4-0
2QA4-T	2QA4-0
2QA4-N	2QA4-0
2QAL-S	2QAL-A
2QAL-T	2QAL-A
2QAL-N	2QAL-A
2QAM-S	2QAM-A
2QAM-T	2QAM-A
2QAM-N	2QAM-A
2QAN-S	2QAN-A
2QAN-T	2QAN-A
2QAN-N	2QAN-A
2QAO-S	2QAO-A
2QAO-T	2QAO-A
2QAO-N	2QAO-A
2QB9-S	2QB9-A
2QB9-T	2QB9-A
2QB9-N	2QB9-A
2QBA-S	2QBA-A
2QBA-T	2QBA-A
2QBA-N	2QBA-A
2QBB-S	2QBB-A
2QBB-T	2QBB-A
2QBB-N	2QBB-A
2QBC-S	2QBC-A
2QBC-T	2QBC-A
2QBC-N	2QBC-A
2QBD-S	2QBD-A
2QBD-T	2QBD-A
2QBD-N	2QBD-A
2QBE-S	2QBE-A
2QBE-T	2QBE-A
2QBE-N	2QBE-A
2QBF-S	2QBF-A
2QBF-T	2QBF-A
2QBF-N	2QBF-A
2QBG-S	2QBG-A
2QBG-T	2QBG-A
2QBG-N	2QBG-A
2QBH-S	2QBH-A
2QBH-T	2QBH-A
2QBH-N	2QBH-A
2QBI-S	2QBI-A
2QBI-T	2QBI-A
2QBI-N	2QBI-A
2QBJ-S	2QBJ-A
2QBJ-T	2QBJ-A
2QBJ-N	2QBJ-A
2QBK-S	2QBK-A
2QBK-T	2QBK-A
2QBK-N	2QBK-A
2QEX-S	2QEX-0
2QEX-T	2QEX-0
2QEX-N	2QEX-0
2QNH-d	2QNH-y
2QNH-j	2QNH-y
2QNH-u	2QNH-y
2QOU-S	2QOU-A
2QOU-T	2QOU-A
2QOU-N	2QOU-A
2QOV-S	2QOV-A
2QOV-T	2QOV-A
2QOV-N	2QOV-A
2QOW-S	2QOW-A
2QOW-T	2QOW-A
2QOW-N	2QOW-A
2QOX-S	2QOX-A
2QOX-T	2QOX-A
2QOX-N	2QOX-A
2QOY-S	2QOY-A
2QOY-T	2QOY-A
2QOY-N	2QOY-A
2QOZ-S	2QOZ-A
2QOZ-T	2QOZ-A
2QOZ-N	2QOZ-A
2QP0-S	2QP0-A
2QP0-T	2QP0-A
2QP0-N	2QP0-A
2QP1-S	2QP1-A
2QP1-T	2QP1-A
2QP1-N	2QP1-A
2R92-K	2R92-T
2R92-E	2R92-T
2R92-J	2R92-T
2R93-K	2R93-R
2R93-E	2R93-R
2R93-J	2R93-R
2RFK-B	2RFK-E
2RFK-C	2RFK-E
2UU9-S	2UU9-A
2UU9-T	2UU9-A
2UU9-N	2UU9-A
2UUA-S	2UUA-A
2UUA-T	2UUA-A
2UUA-N	2UUA-A
2UUB-S	2UUB-A
2UUB-T	2UUB-A
2UUB-N	2UUB-A
2UUC-S	2UUC-A
2UUC-T	2UUC-A
2UUC-N	2UUC-A
2UXB-S	2UXB-A
2UXB-T	2UXB-A
2UXB-N	2UXB-A
2UXC-S	2UXC-A
2UXC-T	2UXC-A
2UXC-N	2UXC-A
2UXD-S	2UXD-A
2UXD-T	2UXD-A
2UXD-N	2UXD-A
2V3C-A	2V3C-M
2V3C-C	2V3C-N
2V46-S	2V46-A
2V46-T	2V46-A
2V46-N	2V46-A
2V47-S	2V47-A
2V47-T	2V47-A
2V47-N	2V47-A
2V48-S	2V48-A
2V48-T	2V48-A
2V48-N	2V48-A
2V49-S	2V49-A
2V49-T	2V49-A
2V49-N	2V49-A
2VHM-S	2VHM-A
2VHM-T	2VHM-A
2VHM-N	2VHM-A
2VHN-S	2VHN-A
2VHN-T	2VHN-A
2VHN-N	2VHN-A
2VHO-S	2VHO-A
2VHO-T	2VHO-A
2VHO-N	2VHO-A
2VHP-S	2VHP-A
2VHP-T	2VHP-A
2VHP-N	2VHP-A
2VQE-S	2VQE-A
2VQE-T	2VQE-A
2VQE-N	2VQE-A
2VQF-S	2VQF-A
2VQF-T	2VQF-A
2VQF-N	2VQF-A
