Protein ID	RNA ID
1A9N-B	1A9N-Q
1AQ3-A	1AQ3-R
1AQ4-A	1AQ4-R
1ASY-A	1ASY-R
1ASZ-A	1ASZ-R
1B23-P	1B23-R
1C04-C	1C04-E
1C0A-A	1C0A-B
1CX0-A	1CX0-B
1DFU-P	1DFU-N
1DK1-A	1DK1-B
1DRZ-A	1DRZ-B
1DUL-A	1DUL-B
1E7K-A	1E7K-C
1E8O-D	1E8O-E
1EC6-A	1EC6-D
1EFW-A	1EFW-C
1EIY-B	1EIY-C
1EUQ-A	1EUQ-B
1EUY-A	1EUY-B
1EXD-A	1EXD-B
1F7U-A	1F7U-B
1F7V-A	1F7V-B
1F7Y-A	1F7Y-B
1FEU-A	1FEU-C
1FFY-A	1FFY-T
1FJG-D	1FJG-A
1FKA-O	1FKA-A
1G1X-H	1G1X-J
1G1X-B	1G1X-E
1G59-A	1G59-B
1GAX-A	1GAX-C
1GTR-A	1GTR-B
1GTS-A	1GTS-B
1H4Q-B	1H4Q-T
1H4S-B	1H4S-T
1HC8-A	1HC8-C
1HNW-I	1HNW-A
1HNX-I	1HNX-A
1HNZ-I	1HNZ-A
1HQ1-A	1HQ1-B
1HR0-I	1HR0-A
1HVU-B	1HVU-C
1HYS-A	1HYS-E
1I6U-A	1I6U-C
1I94-I	1I94-A
1IBK-I	1IBK-A
1IBL-D	1IBL-A
1IBM-L	1IBM-A
1IL2-A	1IL2-C
1IVS-A	1IVS-C
1J1U-A	1J1U-B
1J2B-A	1J2B-D
1J5E-I	1J5E-A
1JBR-A	1JBR-C
1JBS-A	1JBS-C
1JBT-A	1JBT-C
1JID-A	1JID-B
1JJ2-M	1JJ2-9
1JJ2-B	1JJ2-0
1K73-O	1K73-B
1K73-D	1K73-A
1K8A-O	1K8A-B
1K8A-D	1K8A-A
1K8W-A	1K8W-B
1K9M-O	1K9M-B
1K9M-D	1K9M-A
1K9M-R	1K9M-A
1KC8-O	1KC8-B
1KC8-D	1KC8-A
1KC8-R	1KC8-A
1KD1-O	1KD1-B
1KD1-D	1KD1-A
1KD1-R	1KD1-A
1KOG-B	1KOG-J
1KQS-M	1KQS-9
1KQS-B	1KQS-0
1KUQ-A	1KUQ-B
1L1C-B	1L1C-C
1L9A-A	1L9A-B
1LNG-A	1LNG-B
1M1K-O	1M1K-B
1M1K-D	1M1K-A
1M5K-C	1M5K-B
1M5O-C	1M5O-B
1M5P-C	1M5P-B
1M5V-C	1M5V-B
1M90-O	1M90-B
1M90-D	1M90-A
1MFQ-B	1MFQ-A
1MJI-A	1MJI-C
1MMS-A	1MMS-C
1MZP-A	1MZP-B
1N32-L	1N32-A
1N33-L	1N33-A
1N34-L	1N34-A
1N36-L	1N36-A
1N77-A	1N77-C
1N78-A	1N78-C
1N8R-O	1N8R-B
1N8R-D	1N8R-A
1N8R-R	1N8R-A
1NJI-O	1NJI-B
1NJI-D	1NJI-A
1O0B-A	1O0B-B
1O0C-A	1O0C-B
1OB5-A	1OB5-B
1OLN-A	1OLN-C
1OOA-A	1OOA-C
1P6V-A	1P6V-B
1PNS-M	1PNS-A
1PNS-C	1PNS-A
1PNS-I	1PNS-A
1PNX-I	1PNX-A
1Q2R-A	1Q2R-E
1Q2S-A	1Q2S-E
1Q7Y-O	1Q7Y-B
1Q7Y-D	1Q7Y-A
1Q81-O	1Q81-B
1Q81-D	1Q81-A
1Q82-O	1Q82-B
1Q82-D	1Q82-A
1Q82-R	1Q82-A
1Q86-O	1Q86-B
1Q86-D	1Q86-A
1Q86-R	1Q86-A
1QA6-A	1QA6-C
1QF6-A	1QF6-B
1QRS-A	1QRS-B
1QRT-A	1QRT-B
1QRU-A	1QRU-B
1QTQ-A	1QTQ-B
1QU2-A	1QU2-T
1QU3-A	1QU3-T
1QVF-M	1QVF-9
1QVF-P	1QVF-0
1QVF-B	1QVF-0
1QVF-2	1QVF-0
1QVG-M	1QVG-9
1QVG-B	1QVG-0
1QZW-A	1QZW-B
1R3E-A	1R3E-C
1RLG-A	1RLG-C
1RPU-A	1RPU-C
1RPU-B	1RPU-C
1S03-G	1S03-B
1S72-N	1S72-9
1S72-B	1S72-0
1SER-B	1SER-T
1SJ3-P	1SJ3-R
1SJ4-P	1SJ4-R
1SJF-A	1SJF-B
1SZ1-A	1SZ1-E
1T0K-B	1T0K-D
1TTT-A	1TTT-D
1U0B-B	1U0B-A
1U1Y-A	1U1Y-R
1U63-A	1U63-B
1U6B-A	1U6B-B
1UN6-B	1UN6-F
1VBX-A	1VBX-B
1VBY-A	1VBY-B
1VBZ-A	1VBZ-B
1VC0-A	1VC0-B
1VC5-A	1VC5-B
1VC6-A	1VC6-B
1VC7-A	1VC7-B
